,bowler,matches,total_wickets,total_balls_bowled,total_runs,dot_balls,extra_runs,average,strike_rate,economy,best_figure,boundaries_4-6,most_balls_in_single_over
350,SL Malinga,122,170.0,10895,3486,1144.0,293,20.50588235294118,64.08823529411765,7.292887029288703,5-13,314-86,9
6,A Mishra,150,160.0,11563,3913,1125.0,125,24.45625,72.26875,7.396975425330813,5-17,222-172,9
276,PP Chawla,163,156.0,11594,4330,1137.0,134,27.756410256410255,74.32051282051282,7.930402930402931,4-21,316-181,8
99,DJ Bravo,137,153.0,10412,3869,860.0,210,25.287581699346404,68.05228758169935,8.447598253275109,4-22,305-138,9
133,Harbhajan Singh,157,150.0,12352,4038,1244.0,170,26.92,82.34666666666666,7.172291296625222,5-18,289-142,8
281,R Ashwin,151,138.0,11991,3756,1166.0,175,27.217391304347824,86.8913043478261,6.955555555555556,4-34,226-135,8
57,B Kumar,121,136.0,10104,3333,1155.0,201,24.50735294117647,74.29411764705883,7.341409691629956,5-20,336-88,9
358,SP Narine,119,127.0,10008,3208,1100.0,122,25.25984251968504,78.80314960629921,6.884120171673819,5-20,234-107,8
417,YS Chahal,98,121.0,7852,2782,750.0,133,22.99173553719008,64.89256198347107,7.749303621169917,4-25,158-135,9
396,UT Yadav,120,119.0,9664,3672,954.0,226,30.857142857142858,81.21008403361344,8.701421800947868,4-24,393-116,9
293,RA Jadeja,155,114.0,9792,3515,870.0,107,30.833333333333332,85.89473684210526,7.691466083150985,5-16,213-148,8
370,Sandeep Sharma,92,109.0,7702,2686,847.0,111,24.642201834862384,70.66055045871559,7.808139534883721,4-20,258-93,9
159,JJ Bumrah,92,109.0,7781,2655,810.0,142,24.357798165137616,71.38532110091744,7.585714285714285,4-14,232-79,9
8,A Nehra,88,106.0,7137,2537,798.0,115,23.933962264150942,67.33018867924528,7.928125,4-11,279-76,9
292,R Vinay Kumar,104,105.0,7800,3021,763.0,115,28.771428571428572,74.28571428571429,8.46218487394958,4-40,296-98,8
419,Z Khan,99,102.0,8217,2860,873.0,169,28.03921568627451,80.55882352941177,7.708894878706199,4-17,312-64,9
117,DW Steyn,95,97.0,8317,2568,1019.0,177,26.47422680412371,85.74226804123711,7.054945054945055,3-8,283-54,9
361,SR Watson,105,92.0,7849,2742,803.0,171,29.804347826086957,85.31521739130434,8.041055718475073,4-29,293-74,9
237,MM Sharma,86,92.0,6400,2488,643.0,60,27.043478260869566,69.56521739130434,8.377104377104377,4-14,261-82,9
303,RP Singh,82,90.0,6886,2417,744.0,181,26.855555555555554,76.5111111111111,8.08361204013378,4-22,254-70,9
264,P Kumar,119,90.0,9613,3342,1074.0,236,37.13333333333333,106.81111111111112,7.882075471698113,3-18,338-104,9
277,PP Ojha,90,89.0,6964,2399,667.0,138,26.95505617977528,78.24719101123596,7.544025157232705,3-11,146-97,9
115,DS Kulkarni,91,86.0,6774,2465,734.0,147,28.662790697674417,78.76744186046511,8.35593220338983,4-15,269-77,9
150,JA Morkel,87,85.0,6621,2409,645.0,153,28.341176470588234,77.89411764705882,8.364583333333334,4-32,264-56,9
153,JD Unadkat,79,81.0,6022,2447,540.0,70,30.209876543209877,74.34567901234568,8.833935018050541,5-25,203-108,8
141,IK Pathan,101,80.0,7604,2711,835.0,142,33.8875,95.05,7.857971014492754,3-25,293-82,9
78,CH Morris,70,80.0,5565,1966,583.0,115,24.575,69.5625,7.991869918699187,4-24,185-63,9
38,AR Patel,96,80.0,7301,2502,658.0,85,31.275,91.2625,7.42433234421365,4-21,158-96,9
143,Imran Tahir,58,80.0,4662,1713,423.0,63,21.4125,58.275,7.894009216589862,4-12,96-83,8
215,M Morkel,70,77.0,6203,2136,708.0,131,27.74025974025974,80.55844155844156,7.852941176470588,4-20,230-61,9
200,L Balaji,73,76.0,5691,2083,537.0,131,27.407894736842106,74.88157894736842,8.13671875,5-25,188-69,8
312,Rashid Khan,62,75.0,5265,1573,605.0,58,20.973333333333333,70.2,6.394308943089431,3-7,107-56,8
236,MM Patel,63,74.0,4919,1733,590.0,63,23.41891891891892,66.47297297297297,7.634361233480176,5-25,188-53,9
231,MJ McClenaghan,56,71.0,4976,1839,507.0,113,25.901408450704224,70.08450704225352,8.633802816901408,4-26,181-72,9
282,R Bhatia,91,71.0,5892,2059,436.0,73,29.0,82.98591549295774,7.514598540145985,4-15,120-68,7
138,I Sharma,90,71.0,7392,2681,817.0,196,37.76056338028169,104.11267605633803,8.326086956521738,5-13,303-75,9
20,AB Dinda,75,69.0,5814,2103,627.0,116,30.47826086956522,84.26086956521739,8.24705882352941,4-18,232-58,9
348,SK Trivedi,75,65.0,5620,1944,492.0,104,29.907692307692308,86.46153846153847,7.714285714285714,4-25,154-51,8
158,JH Kallis,89,65.0,6498,2348,601.0,126,36.12307692307692,99.96923076923076,8.06872852233677,3-15,236-58,8
386,TA Boult,48,63.0,4173,1597,446.0,66,25.349206349206348,66.23809523809524,8.586021505376344,4-18,190-48,8
216,M Muralitharan,66,63.0,5710,1755,598.0,123,27.857142857142858,90.63492063492063,6.882352941176471,3-11,104-66,9
176,K Rabada,35,61.0,3046,1136,304.0,76,18.62295081967213,49.9344262295082,8.352941176470589,4-21,110-36,8
227,MG Johnson,54,61.0,4769,1734,533.0,106,28.42622950819672,78.18032786885246,8.376811594202898,3-27,195-55,9
27,AD Russell,68,61.0,4282,1743,398.0,76,28.57377049180328,70.19672131147541,9.031088082901555,4-25,170-69,9
179,KA Pollard,92,60.0,5272,1975,360.0,109,32.916666666666664,87.86666666666666,8.856502242152466,4-44,152-70,9
247,Mohammed Shami,63,60.0,5111,2055,488.0,127,34.25,85.18333333333334,9.052863436123348,3-16,209-74,9
166,JP Faulkner,60,59.0,4613,1827,397.0,104,30.966101694915253,78.1864406779661,8.826086956521738,5-18,159-65,8
193,KV Sharma,66,59.0,4373,1645,407.0,52,27.88135593220339,74.11864406779661,7.985436893203883,4-17,87-91,8
373,Shakib Al Hasan,62,59.0,4846,1676,455.0,59,28.406779661016948,82.13559322033899,7.482142857142857,3-17,109-69,8
349,SK Warne,54,57.0,4383,1465,426.0,57,25.70175438596491,76.89473684210526,7.36180904522613,4-22,91-56,8
320,S Kaul,46,51.0,3706,1476,314.0,59,28.941176470588236,72.66666666666667,8.785714285714286,4-30,135-54,8
319,S Gopal,44,48.0,3172,1173,289.0,18,24.4375,66.08333333333333,7.87248322147651,4-16,69-58,7
325,S Nadeem,69,47.0,5062,1764,444.0,47,37.53191489361702,107.70212765957447,7.570815450643777,3-16,112-70,8
337,SB Jakati,57,47.0,3904,1474,337.0,52,31.361702127659573,83.06382978723404,8.098901098901099,4-23,97-60,8
182,KH Pandya,69,46.0,4627,1530,395.0,70,33.26086956521739,100.58695652173913,7.285714285714286,3-15,105-44,9
151,JC Archer,35,46.0,3117,1008,377.0,60,21.91304347826087,67.76086956521739,7.251798561151079,3-21,81-44,9
132,HV Patel,46,46.0,3523,1380,310.0,80,30.0,76.58695652173913,8.903225806451612,3-28,126-51,9
357,SN Thakur,44,46.0,3473,1355,327.0,65,29.456521739130434,75.5,8.914473684210526,3-19,131-50,9
108,DL Chahar,48,45.0,3822,1286,438.0,61,28.57777777777778,84.93333333333334,7.654761904761905,3-15,150-30,8
5,A Kumble,42,45.0,3488,1089,374.0,62,24.2,77.5111111111111,6.680981595092025,5-6,72-35,8
315,S Aravind,38,45.0,2855,1057,290.0,50,23.488888888888887,63.44444444444444,8.2578125,4-14,105-38,8
300,RJ Harris,37,45.0,3146,1085,364.0,87,24.11111111111111,69.91111111111111,7.805755395683454,4-34,119-27,9
416,YK Pathan,82,42.0,4273,1443,393.0,71,34.357142857142854,101.73809523809524,7.476683937823834,3-21,99-57,9
402,VR Aaron,48,42.0,3842,1474,381.0,122,35.095238095238095,91.47619047619048,9.042944785276074,3-16,152-51,9
131,HH Pandya,60,42.0,3354,1340,287.0,72,31.904761904761905,79.85714285714286,9.178082191780822,3-24,115-59,9
259,NM Coulter-Nile,32,41.0,2739,945,316.0,54,23.048780487804876,66.8048780487805,7.809917355371901,4-21,103-29,9
289,R Sharma,44,40.0,3293,1100,334.0,21,27.5,82.325,7.096774193548387,3-13,70-45,7
198,Kuldeep Yadav,43,40.0,3252,1251,262.0,41,31.275,81.3,8.34,4-20,62-66,8
330,S Sreesanth,44,40.0,3564,1221,399.0,109,30.525,89.1,8.25,3-30,130-39,9
144,Iqbal Abdulla,48,40.0,3376,1125,331.0,42,28.125,84.4,7.305194805194805,3-25,88-37,8
31,AJ Tye,27,40.0,2358,892,187.0,47,22.3,58.95,8.660194174757281,5-18,77-29,8
262,P Awana,33,39.0,2797,1046,293.0,46,26.82051282051282,71.71794871794872,8.368,4-34,107-35,9
248,Mohammed Siraj,35,39.0,2779,1101,272.0,65,28.23076923076923,71.25641025641026,9.099173553719009,4-32,97-54,9
225,MC Henriques,55,38.0,3316,1255,277.0,43,33.026315789473685,87.26315789473684,8.311258278145695,3-16,120-37,9
98,DE Bollinger,27,37.0,2181,716,254.0,53,19.35135135135135,58.945945945945944,7.381443298969073,4-14,73-19,8
241,MS Gony,44,37.0,3373,1317,348.0,67,35.5945945945946,91.16216216216216,8.89864864864865,3-31,135-53,8
418,Yuvraj Singh,73,36.0,3134,1091,258.0,27,30.305555555555557,87.05555555555556,7.472602739726027,4-29,59-41,7
274,PJ Sangwan,39,35.0,3134,1201,298.0,82,34.31428571428572,89.54285714285714,8.962686567164178,3-19,118-43,9
265,P Negi,42,34.0,2621,954,237.0,32,28.058823529411764,77.08823529411765,7.884297520661157,4-18,57-47,8
222,MA Starc,26,34.0,2258,725,232.0,69,21.323529411764707,66.41176470588235,7.474226804123711,4-20,77-8,9
116,DT Christian,40,34.0,2989,1062,268.0,61,31.235294117647058,87.91176470588235,8.106870229007633,2-10,88-34,9
185,KK Cooper,25,33.0,2189,789,184.0,64,23.90909090909091,66.33333333333333,8.21875,4-27,59-23,9
212,M Kartik,55,31.0,4249,1418,382.0,77,45.74193548387097,137.06451612903226,7.385416666666667,3-17,97-41,8
258,NLTC Perera,36,31.0,2542,1031,227.0,33,33.25806451612903,82.0,8.663865546218487,3-20,113-28,7
296,RD Chahar,30,30.0,2348,808,239.0,23,26.933333333333334,78.26666666666667,7.5514018691588785,3-19,53-38,9
273,PJ Cummins,30,29.0,2548,949,251.0,79,32.724137931034484,87.86206896551724,8.398230088495575,4-34,90-31,8
53,Azhar Mahmood,23,29.0,1971,707,199.0,26,24.379310344827587,67.96551724137932,7.769230769230769,3-20,73-18,8
19,AB Agarkar,42,29.0,3006,1174,254.0,62,40.48275862068966,103.65517241379311,8.961832061068701,3-25,113-41,8
239,MP Stoinis,37,28.0,2033,869,139.0,36,31.035714285714285,72.60714285714286,9.445652173913043,4-21,74-37,9
11,A Singh,23,28.0,1738,639,189.0,36,22.821428571428573,62.07142857142857,7.9875,4-19,67-17,9
387,TG Southee,40,28.0,3422,1316,328.0,71,47.0,122.21428571428571,8.891891891891891,3-25,135-42,8
109,DL Vettori,34,28.0,2765,894,270.0,23,31.928571428571427,98.75,6.824427480916031,3-15,67-24,7
111,DP Nannes,29,28.0,2569,815,285.0,81,29.107142857142858,91.75,7.477064220183486,3-27,89-15,9
62,BA Stokes,36,28.0,2606,993,226.0,67,35.464285714285715,93.07142857142857,8.787610619469026,3-16,96-31,8
278,PV Tambe,33,28.0,2409,866,204.0,32,30.928571428571427,86.03571428571429,7.872727272727273,4-20,64-28,8
226,MF Maharoof,20,27.0,1625,532,165.0,38,19.703703703703702,60.18518518518518,7.6,3-34,46-16,9
26,AD Mathews,44,27.0,2873,1095,224.0,41,40.55555555555556,106.4074074074074,8.233082706766917,4-20,98-29,8
184,KK Ahmed,17,27.0,1460,576,148.0,27,21.333333333333332,54.074074074074076,9.0,3-31,53-26,8
408,WD Parnell,26,26.0,2194,731,241.0,80,28.115384615384617,84.38461538461539,7.536082474226804,3-27,80-11,8
114,DR Smith,46,26.0,2011,825,168.0,38,31.73076923076923,77.34615384615384,9.166666666666666,4-8,75-33,8
134,Harmeet Singh,27,26.0,2002,713,189.0,48,27.423076923076923,77.0,8.01123595505618,3-25,66-20,8
59,B Lee,38,25.0,3343,1126,374.0,84,45.04,133.72,7.659863945578231,3-16,123-25,8
211,M Ashwin,31,25.0,2235,796,199.0,32,31.84,89.4,7.803921568627451,3-22,60-29,8
347,SK Raina,69,25.0,3328,1139,280.0,43,45.56,133.12,7.348387096774194,2-0,71-44,9
145,J Botha,34,25.0,2530,818,254.0,37,32.72,101.2,7.051724137931035,3-6,60-24,7
88,CR Woakes,18,25.0,1458,589,131.0,35,23.56,58.32,9.34920634920635,3-6,58-25,8
40,AS Rajpoot,29,24.0,2121,844,192.0,72,35.166666666666664,88.375,9.48314606741573,5-15,89-31,9
291,R Tewatia,32,24.0,2099,684,202.0,19,28.5,87.45833333333333,7.125,3-18,29-36,9
410,Washington Sundar,35,24.0,2332,758,240.0,19,31.583333333333332,97.16666666666667,6.954128440366972,3-16,46-32,8
251,Mustafizur Rahman,24,24.0,1996,693,197.0,21,28.875,83.16666666666667,7.532608695652174,3-16,56-22,8
368,SW Tait,21,23.0,2087,668,200.0,111,29.043478260869566,90.73913043478261,8.246913580246913,3-15,71-12,9
165,JP Duminy,49,23.0,2521,847,234.0,45,36.82608695652174,109.6086956521739,7.3652173913043475,4-19,53-33,8
121,GB Hogg,21,23.0,1655,585,159.0,33,25.434782608695652,71.95652173913044,7.597402597402597,4-30,40-21,7
352,SM Curran,22,23.0,1724,673,145.0,28,29.26086956521739,74.95652173913044,8.855263157894736,4-13,67-20,8
10,A Nortje,16,22.0,1346,529,149.0,27,24.045454545454547,61.18181818181818,8.53225806451613,3-34,55-22,8
379,Sohail Tanvir,11,22.0,982,275,121.0,29,12.5,44.63636363636363,6.5476190476190474,6-15,27-7,8
367,STR Binny,63,22.0,2200,763,199.0,22,34.68181818181818,100.0,7.707070707070707,2-14,76-14,8
70,BW Hilfenhaus,17,22.0,1432,497,173.0,36,22.59090909090909,65.0909090909091,8.016129032258064,3-27,48-21,8
14,A Zampa,14,21.0,1037,373,90.0,12,17.761904761904763,49.38095238095238,7.770833333333333,6-19,15-20,7
82,CJ Jordan,20,21.0,1544,620,119.0,50,29.523809523809526,73.52380952380952,9.538461538461538,4-12,51-24,8
406,VY Mahesh,17,21.0,1327,511,120.0,33,24.333333333333332,63.19047619047619,8.810344827586206,4-36,47-20,9
297,RE van der Merwe,21,21.0,1635,515,148.0,29,24.523809523809526,77.85714285714286,6.95945945945946,3-20,25-17,8
12,A Symonds,30,20.0,1936,694,190.0,38,34.7,96.8,7.886363636363637,3-22,44-33,9
240,MR Marsh,19,20.0,1187,426,113.0,18,21.3,59.35,7.745454545454545,4-25,40-14,8
201,L Ngidi,11,20.0,993,331,107.0,23,16.55,49.65,7.880952380952381,4-11,29-14,9
163,JO Holder,18,19.0,1487,552,135.0,33,29.05263157894737,78.26315789473684,8.625,3-25,53-16,8
125,GJ Maxwell,50,19.0,1996,786,162.0,21,41.36842105263158,105.05263157894737,8.637362637362637,2-15,48-41,8
25,AD Mascarenhas,13,19.0,1098,365,124.0,12,19.210526315789473,57.78947368421053,7.019230769230769,5-29,34-8,7
218,M Prasidh Krishna,24,18.0,1978,810,182.0,35,45.0,109.88888888888889,9.310344827586206,4-30,97-24,9
409,WPUJC Vaas,13,18.0,1023,364,128.0,19,20.22222222222222,56.833333333333336,7.583333333333333,3-21,40-13,7
283,R Dhawan,25,18.0,1885,655,151.0,49,36.388888888888886,104.72222222222223,7.987804878048781,2-18,51-16,9
194,KW Richardson,14,18.0,1170,450,124.0,20,25.0,65.0,8.49056603773585,3-13,35-23,7
383,T Natarajan,22,18.0,1703,636,147.0,35,35.333333333333336,94.61111111111111,8.368421052631579,2-25,53-24,8
0,A Ashish Reddy,20,18.0,962,400,79.0,14,22.22222222222222,53.44444444444444,8.88888888888889,3-25,26-20,7
140,IC Pandey,24,18.0,1666,609,212.0,25,33.833333333333336,92.55555555555556,7.909090909090909,2-23,77-17,7
90,CV Varun,14,18.0,1162,392,118.0,2,21.77777777777778,64.55555555555556,7.127272727272727,5-20,30-12,7
50,Anureet Singh,22,18.0,1567,636,139.0,35,35.333333333333336,87.05555555555556,9.217391304347826,3-23,65-22,8
64,BB Sran,24,18.0,1930,767,168.0,49,42.611111111111114,107.22222222222223,9.469135802469136,3-29,73-29,9
77,CH Gayle,38,18.0,2149,755,180.0,75,41.94444444444444,119.38888888888889,8.118279569892474,3-21,49-27,9
72,Bipul Sharma,28,17.0,1569,581,131.0,24,34.1764705882353,92.29411764705883,8.069444444444445,2-13,28-31,8
89,CRD Fernando,10,17.0,925,306,99.0,27,18.0,54.411764705882355,7.846153846153846,4-18,30-9,8
253,NA Saini,26,17.0,2140,795,248.0,49,46.76470588235294,125.88235294117646,8.457446808510639,2-24,83-31,8
71,Basil Thampi,20,17.0,1561,704,114.0,22,41.411764705882355,91.82352941176471,9.777777777777779,3-29,64-31,7
67,BJ Hodge,20,17.0,847,310,75.0,16,18.235294117647058,49.8235294117647,7.948717948717949,4-13,17-14,7
250,Mujeeb Ur Rahman,18,17.0,1546,568,138.0,31,33.411764705882355,90.94117647058823,8.231884057971014,3-28,38-23,8
93,D Wiese,14,16.0,1047,409,79.0,19,25.5625,65.4375,8.702127659574469,4-36,44-9,8
214,M Markande,17,16.0,1085,435,91.0,13,27.1875,67.8125,8.7,4-25,36-20,7
299,RG Sharma,30,15.0,1249,449,88.0,24,29.933333333333334,83.26666666666667,8.017857142857142,4-7,27-14,8
208,LR Shukla,27,15.0,1169,458,109.0,29,30.533333333333335,77.93333333333334,8.481481481481481,3-6,39-16,8
415,YA Abdulla,11,15.0,820,311,88.0,17,20.733333333333334,54.666666666666664,8.885714285714286,4-31,32-13,8
287,R Rampaul,12,14.0,984,308,127.0,20,22.0,70.28571428571429,7.0,3-31,24-13,8
346,SJ Srivastava,14,14.0,1160,444,103.0,35,31.714285714285715,82.85714285714286,9.446808510638299,2-20,50-13,8
169,JR Hopes,20,14.0,1323,562,105.0,23,40.142857142857146,94.5,9.366666666666667,2-3,44-28,7
23,AC Thomas,15,14.0,1185,416,126.0,22,29.714285714285715,84.64285714285714,7.849056603773585,3-22,41-11,9
374,Shivam Mavi,17,14.0,1257,487,122.0,23,34.785714285714285,89.78571428571429,9.018518518518519,2-15,46-21,9
306,RR Powar,26,13.0,1612,538,166.0,37,41.38461538461539,124.0,7.577464788732394,2-11,41-18,8
87,CR Brathwaite,16,13.0,966,384,74.0,21,29.53846153846154,74.3076923076923,8.727272727272727,3-47,37-12,9
85,CK Langeveldt,7,13.0,610,199,69.0,21,15.307692307692308,46.92307692307692,7.653846153846154,3-15,17-8,8
366,ST Jayasuriya,21,13.0,1080,396,83.0,21,30.46153846153846,83.07692307692308,8.081632653061224,3-14,22-16,8
323,S Lamichhane,9,13.0,742,297,75.0,6,22.846153846153847,57.07692307692308,8.485714285714286,3-36,21-17,7
174,K Gowtham,24,13.0,1470,576,132.0,20,44.30769230769231,113.07692307692308,8.470588235294118,2-16,52-22,7
172,Joginder Sharma,15,12.0,1006,421,71.0,19,35.083333333333336,83.83333333333333,9.790697674418604,2-28,38-17,8
284,R McLaren,18,12.0,1366,558,116.0,38,46.5,113.83333333333333,9.457627118644067,2-29,69-11,8
403,VRV Singh,18,12.0,1338,549,114.0,18,45.75,111.5,9.15,3-29,58-16,8
196,Karanveer Singh,9,12.0,779,323,64.0,11,26.916666666666668,64.91666666666667,9.5,4-54,19-19,8
397,Umar Gul,6,12.0,593,198,51.0,32,16.5,49.416666666666664,8.608695652173912,4-24,17-5,9
61,BA Bhatt,15,12.0,1077,408,93.0,19,34.0,89.75,8.16,4-22,35-13,7
314,Ravi Bishnoi,14,12.0,1156,381,119.0,19,31.75,96.33333333333333,7.470588235294118,3-29,25-17,8
123,GD McGrath,14,12.0,1169,366,153.0,14,30.5,97.41666666666667,6.777777777777778,4-29,41-10,7
51,Arshdeep Singh,11,12.0,829,336,70.0,24,28.0,69.08333333333333,9.6,3-23,34-11,8
146,J Suchith,14,12.0,995,397,81.0,10,33.083333333333336,82.91666666666667,8.822222222222223,2-14,31-16,8
48,Ankit Sharma,21,12.0,1339,453,137.0,17,37.75,111.58333333333333,7.306451612903226,2-21,28-18,8
36,AN Ahmed,17,12.0,1331,515,120.0,48,42.916666666666664,110.91666666666667,8.879310344827585,2-19,43-20,9
106,DJG Sammy,19,11.0,879,354,72.0,13,32.18181818181818,79.9090909090909,8.85,4-23,33-12,8
